jockey_name,track_code,wins,win_pct,starts,surface,source_page,year
"Marti, Alexander",ALL,7,9.3,75,,2082,2025
"Larsen, Shaunda L.",ALL,1,5.6,18,,2082,2025
"Martin, Andre",ALL,0,0.0,11,,2082,2025
"Latchman, Reshawn",ALL,51,19.4,263,,2082,2025
"Martin, David A.",ALL,0,0.0,16,,2082,2025
"Lazalde, Martin",ALL,0,0.0,1,,2082,2025
"Martin, Mattie",ALL,0,0.0,1,,2082,2025
"Lazo, Hector",ALL,2,50.0,4,,2082,2025
"Martinez, Aram S.",ALL,0,0.0,10,,2082,2025
"Leahey, Hannah",ALL,16,10.1,158,,2082,2025
"Martinez, Carlos",ALL,4,8.0,50,,2082,2025
"Leavy, Joe",ALL,0,0.0,1,,2082,2025
"Martinez, Eder Luis",ALL,1,3.6,28,,2082,2025
"Lebron, Victor",ALL,59,19.1,309,,2082,2025
"Martinez, Efren",ALL,0,0.0,13,,2082,2025
"Ledet, Theodrick",ALL,2,3.3,60,,2082,2025
"Martinez, Francisco",ALL,72,12.4,579,,2082,2025
"Lee, Chad",ALL,0,0.0,18,,2082,2025
"Martinez, Gaddiel A.",ALL,74,15.9,464,,2082,2025
"Lemaire, Christophe",ALL,0,0.0,1,,2082,2025
"Martinez, Humberto",ALL,0,0.0,4,,2082,2025
"Leon, Anisete",ALL,0,0.0,4,,2082,2025
"Martinez, Joey R.",ALL,0,0.0,25,,2082,2025
"Leon, Jose A.",ALL,6,4.9,122,,2082,2025
"Martinez, Juan",ALL,0,0.0,5,,2082,2025
"Leon, Sonny",ALL,101,12.5,809,,2082,2025
"Martinez, Miguel L.",ALL,7,4.6,153,,2082,2025
"Leparoux, Julien R.",ALL,55,11.6,476,,2082,2025
"Martinez, Ricardo",ALL,16,8.0,200,,2082,2025
"Levario, Jesse Lee",ALL,0,0.0,1,,2082,2025
"Martinez, Willie",ALL,39,14.0,278,,2082,2025
"Lewis, Dwight Anthony",ALL,0,0.0,18,,2082,2025
"Matias, Javier",ALL,3,7.5,40,,2082,2025
"Lewis, Harriston",ALL,0,0.0,5,,2082,2025
"Matos, Prandy",ALL,0,0.0,13,,2082,2025
"Lewis, Justin M.",ALL,39,10.6,368,,2082,2025
"Mauricio, Jose",ALL,11,10.6,104,,2082,2025
"Lezcano, Abel",ALL,25,8.7,287,,2082,2025
"Mawing, Anthony",ALL,18,9.7,185,,2082,2025
"Lezcano, Jose",ALL,131,15.4,849,,2082,2025
"Mawing, Leslie",ALL,16,7.0,228,,2082,2025
"Lindsay, Chad",ALL,7,7.2,97,,2082,2025
"Mayhew, Glenmore W.",ALL,0,0.0,9,,2082,2025
"Lloyd, John W.",ALL,0,0.0,7,,2082,2025
"Mbatha, Lucky",ALL,0,0.0,4,,2082,2025
"Locke, Anthony W.",ALL,0,0.0,2,,2082,2025
"McDaid, Kellie M.",ALL,1,20.0,5,,2082,2025
"Lopez, Antonio",ALL,19,11.7,163,,2082,2025
"McDermott, Sean",ALL,2,4.4,45,,2082,2025
"Lopez, Carlos Eduardo",ALL,93,17.7,525,,2082,2025
"McDonagh, Dylan",ALL,0,0.0,1,,2082,2025
"Lopez, David Charles",ALL,0,0.0,2,,2082,2025
"McDonough, Dylan",ALL,0,0.0,6,,2082,2025
"Lopez, Erick",ALL,0,0.0,2,,2082,2025
"McGregor, Kiaman",ALL,53,10.7,496,,2082,2025
"Lopez, Henry Reynoso",ALL,6,17.1,35,,2082,2025
"McGuin, Jasmine",ALL,0,0.0,3,,2082,2025
"Lopez, Jaime E.",ALL,13,16.2,80,,2082,2025
"McIntosh, Shaquil",ALL,0,0.0,3,,2082,2025
"Lopez, Jose E.",ALL,7,6.7,105,,2082,2025
"McKee, John",ALL,56,19.6,286,,2082,2025
"Lopez, Jose P.",ALL,2,7.4,27,,2082,2025
"McKenzie, Connie",ALL,10,16.9,59,,2082,2025
"Lopez, Juan D.",ALL,0,0.0,1,,2082,2025
"McMahon, C.J.",ALL,100,15.8,634,,2082,2025
"Lopez, Karlo",ALL,76,12.4,614,,2082,2025
"McMonagle, Dylan Browne",ALL,1,25.0,4,,2082,2025
"Lopez, Paco ................................................ 1,333 325 221 211 13,343,780 McNeil, Bryan",ALL,9,7.0,128,,2082,2025
"Lopez, Uriel A.",ALL,2,1.7,117,,2082,2025
"McNeil, Erik",ALL,2,5.6,36,,2082,2025
"Lordan, Wayne",ALL,0,0.0,1,,2082,2025
"Meche, Cole",ALL,4,2.9,136,,2082,2025
"Loughnane, Billy",ALL,0,0.0,3,,2082,2025
"Medellin, Alejandro",ALL,41,12.7,324,,2082,2025
"Loveberry, Jareth",ALL,108,15.7,688,,2082,2025
"Medellin, Erick",ALL,7,4.5,155,,2082,2025
"Lozada, Carlos",ALL,49,11.6,424,,2082,2025
"Medina, Anthony",ALL,0,0.0,19,,2082,2025
"Luark, Mike T",ALL,2,7.4,27,,2082,2025
"Medina, Jose Angel",ALL,121,22.0,551,,2082,2025
"Lucille, Geena",ALL,0,0.0,6,,2082,2025
"Meeks, Micah",ALL,2,5.0,40,,2082,2025
"Lugo, Carlos D.",ALL,3,6.4,47,,2082,2025
"Meineke, Sheldon",ALL,1,7.1,14,,2082,2025
"Lugo, Jr., Jaime",ALL,1,3.8,26,,2082,2025
"Mejias, Kleiner A.",ALL,1,6.7,15,,2082,2025
"Lull, Richard E.",ALL,0,0.0,1,,2082,2025
"Mejias, Ricardo",ALL,8,16.3,49,,2082,2025
"Luna, Paul A.",ALL,4,3.5,114,,2082,2025
"Melancon, Jansen",ALL,99,16.6,595,,2082,2025
"Lunan, Richard",ALL,10,14.3,70,,2082,2025
"Mena, Raul E.",ALL,54,12.2,443,,2082,2025
"Lundie, Kevin",ALL,0,0.0,2,,2082,2025
"Mendez, Marshall",ALL,94,18.2,517,,2082,2025
"Lusk, Tyson",ALL,3,11.1,27,,2082,2025
"Mendoza, Amir",ALL,6,18.2,33,,2082,2025
"Luzzi, Lane J.",ALL,36,8.1,444,,2082,2025
"Meneses, Marcos",ALL,65,11.0,590,,2082,2025
"Lyapustina, Tais",ALL,36,12.1,298,,2082,2025
"Mera, Julio C.",ALL,0,0.0,3,,2082,2025
"Machado, Dylan",ALL,5,11.1,45,,2082,2025
"Meza, J.J.",ALL,0,0.0,38,,2082,2025
"Machado, Luan ........................................... 1,003 132 120 117 12,647,427 Miller, Chase",ALL,3,6.8,44,,2082,2025
"Macias, Hugo",ALL,0,0.0,1,,2082,2025
"Miller, Zach",ALL,0,0.0,4,,2082,2025
"Miranda, Rogelio",ALL,5,7.5,67,,2082,2025
"Mitchell, Richard",ALL,6,3.7,162,,2083,2025
"Olver, Madison",ALL,31,13.5,229,,2083,2025
"Mojica, Orlando",ALL,127,18.1,703,,2083,2025
"Orantes, Cesar",ALL,1,2.8,36,,2083,2025
"Mojica, Jr., Orlando",ALL,0,0.0,9,,2083,2025
"Orantes, Welfin R.",ALL,33,12.8,257,,2083,2025
"Mojica, Jr., Rafael",ALL,31,10.9,284,,2083,2025
"Ordonez, Ronald R.",ALL,1,14.3,7,,2083,2025
"Molina, Maikol Matias",ALL,1,7.1,14,,2083,2025
"Orduna-Rojas, Francisco",ALL,5,8.3,60,,2083,2025
"Moncada, Irving",ALL,57,11.7,488,,2083,2025
"Orozco, Kevin E.",ALL,35,12.5,281,,2083,2025
"Mongan, Corey",ALL,1,3.6,28,,2083,2025
"Ortega, Cesar",ALL,7,10.3,68,,2083,2025
"Monroy, Francisco",ALL,12,8.1,148,,2083,2025
"Ortega, Harold Joseph",ALL,7,7.4,94,,2083,2025
"Monserrate, Jr., Jorge A.",ALL,0,0.0,8,,2083,2025
"Ortega, Javier O.",ALL,1,2.7,37,,2083,2025
