Date,Track,Race,Field,Top Pick,Bet Type,Selection,Units,Composite,GEM,Confidence,Pace,Win%,Place%,Value,Result,Notes,actual_result,actual_pl,win_bet_pl,place_bet_pl,show_bet_pl,combined_straight_pl
2026-04-12,GPX,4,8,JUST TAKE NOTES,SUPERFECTA_BOX,JUST TAKE NOTES / MY LADY JAMES / EVANORA / SLEW DIVA,0.5,20,YES,HIGH,SLOW,65.0%,84.2%,STRONG_EV,MISS,STRESS_TEST ARM2026 GPX R4 | SCORE=20 | CONF=HIGH | PACE=SLOW | GEM=YES,MISS,-0.5,14.0,6.2,3.3,23.5
2026-04-12,GPX,5,7,LADY RIVER LILY,WIN,LADY RIVER LILY,1.0,19,YES,HIGH,SLOW,53.9%,76.6%,STRONG_EV,LOSS,STRESS_TEST ARM2026 GPX R5 | SCORE=19 | CONF=HIGH | PACE=SLOW | GEM=YES,LOSS,-1.0,-1.0,0.3,0.05,-0.65
2026-04-12,GPX,5,7,LADY RIVER LILY,PLACE,LADY RIVER LILY,1.0,19,YES,HIGH,SLOW,53.9%,76.6%,STRONG_EV,WIN,STRESS_TEST ARM2026 GPX R5 | SCORE=19 | CONF=HIGH | PACE=SLOW | GEM=YES,WIN,0.3,-1.0,0.3,0.05,-0.65
2026-04-12,GPX,5,7,LADY RIVER LILY,SHOW,LADY RIVER LILY,1.0,19,YES,HIGH,SLOW,53.9%,76.6%,STRONG_EV,WIN,STRESS_TEST ARM2026 GPX R5 | SCORE=19 | CONF=HIGH | PACE=SLOW | GEM=YES,WIN,0.05,-1.0,0.3,0.05,-0.65
2026-04-12,GPX,5,7,LADY RIVER LILY,EXACTA_BOX,LADY RIVER LILY / SEAT AT THE TABLE,0.5,19,YES,HIGH,SLOW,53.9%,76.6%,STRONG_EV,HIT,STRESS_TEST ARM2026 GPX R5 | SCORE=19 | CONF=HIGH | PACE=SLOW | GEM=YES,HIT,PAYOUT_UNKNOWN,-1.0,0.3,0.05,-0.65
2026-04-12,GPX,5,7,LADY RIVER LILY,TRIFECTA_BOX,LADY RIVER LILY / SEAT AT THE TABLE / MOBAY PRINCESS,0.5,19,YES,HIGH,SLOW,53.9%,76.6%,STRONG_EV,MISS,STRESS_TEST ARM2026 GPX R5 | SCORE=19 | CONF=HIGH | PACE=SLOW | GEM=YES,MISS,-0.5,-1.0,0.3,0.05,-0.65
2026-04-12,GPX,5,7,LADY RIVER LILY,SUPERFECTA_BOX,LADY RIVER LILY / SEAT AT THE TABLE / MOBAY PRINCESS / STARSHIP SERENITY,0.5,19,YES,HIGH,SLOW,53.9%,76.6%,STRONG_EV,MISS,STRESS_TEST ARM2026 GPX R5 | SCORE=19 | CONF=HIGH | PACE=SLOW | GEM=YES,MISS,-0.5,-1.0,0.3,0.05,-0.65
2026-04-12,GPX,6,7,VELOCIRAPTOR,WIN,VELOCIRAPTOR,1.0,19,YES,MEDIUM,MIXED,37.4%,59.3%,STRONG_EV,LOSS,STRESS_TEST ARM2026 GPX R6 | SCORE=19 | CONF=MEDIUM | PACE=MIXED | GEM=YES,LOSS,-1.0,-1.0,1.3,0.5,0.8
2026-04-12,GPX,6,7,VELOCIRAPTOR,PLACE,VELOCIRAPTOR,1.0,19,YES,MEDIUM,MIXED,37.4%,59.3%,STRONG_EV,WIN,STRESS_TEST ARM2026 GPX R6 | SCORE=19 | CONF=MEDIUM | PACE=MIXED | GEM=YES,WIN,1.3,-1.0,1.3,0.5,0.8
2026-04-12,GPX,6,7,VELOCIRAPTOR,SHOW,VELOCIRAPTOR,1.0,19,YES,MEDIUM,MIXED,37.4%,59.3%,STRONG_EV,WIN,STRESS_TEST ARM2026 GPX R6 | SCORE=19 | CONF=MEDIUM | PACE=MIXED | GEM=YES,WIN,0.5,-1.0,1.3,0.5,0.8
2026-04-12,GPX,6,7,VELOCIRAPTOR,EXACTA_BOX,VELOCIRAPTOR / SEND CASH,0.5,19,YES,MEDIUM,MIXED,37.4%,59.3%,STRONG_EV,MISS,STRESS_TEST ARM2026 GPX R6 | SCORE=19 | CONF=MEDIUM | PACE=MIXED | GEM=YES,MISS,-0.5,-1.0,1.3,0.5,0.8
